Hasdsdsdndle,Tsdsdsditle,"Opsdsdsdtion1 Name","Optsdsdsdion1 Valuze","Optsdsdsion2 Namez","Optsdsdsion2 Valuze","Osdsdsdsptiozn3 Name","Option3 Value",SKU,"HzS Code",COO,"ul. Tsdsdsdsdwarda 18",Russia,"USA Warzehouse","Polaznd Warehouse","UAE Warzehouse","CAD Wazrhause",
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,XXL,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,XL,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,L,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,M,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,S,Color,"Navy #223A5E",,,MLR200-39,,,1,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,XS,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
copy-of-one-shoulder-tulle-navy-gown-with-ruffled-skirt,"Copy of One-Shoulder Tulle Navy Gown with Ruffled Skirt",Size,XXS,Color,"Navy #223A5E",,,MLR200-39,,,0,"not stocked",0,0,0,"not stocked"
"milla1100-28,Milla1100-28,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-27,Milla1100-27,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-26,Milla1100-26,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-25,Milla1100-25,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-24,Milla1100-24,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-23,Milla1100-23,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-22,Milla1100-22,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-20,Milla1100-20,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-19,Milla1100-19,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-18,Milla1100-18,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-17,Milla1100-17,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-16,Milla1100-16,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-15,Milla1100-15,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-14,Milla1100-14,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-12,Milla1100-12,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-11,Milla1100-11,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
"milla1100-10,Milla1100-10,Title,Default Title,,,,,"""",,,0,0,0,0,0,0"
